date,book_value
1991/3/31,
1991/6/30,382995842.8
1991/9/30,
1991/12/31,1824970920
1992/3/31,
1992/6/30,2237099408
1992/9/30,
1992/12/31,17185404382
1993/3/31,
1993/6/30,27723732165
1993/9/30,
1993/12/31,93583317684
1994/3/31,
1994/6/30,1.50355E+11
1994/9/30,
1994/12/31,1.67929E+11
1995/3/31,
1995/6/30,1.86625E+11
1995/9/30,
1995/12/31,1.98759E+11
1996/3/31,
1996/6/30,2.31947E+11
1996/9/30,
1996/12/31,2.97383E+11
1997/3/31,
1997/6/30,3.9404E+11
1997/9/30,
1997/12/31,4.78105E+11
1998/3/31,
1998/6/30,5.62403E+11
1998/9/30,
1998/12/31,6.28878E+11
1999/3/31,
1999/6/30,7.00546E+11
1999/9/30,
1999/12/31,7.7898E+11
2000/3/31,
2000/6/30,8.82176E+11
2000/9/30,
2000/12/31,1.03495E+12
2001/3/31,
2001/6/30,1.16584E+12
2001/9/30,
2001/12/31,1.36623E+12
2002/3/31,1.41658E+12
2002/6/30,1.48834E+12
2002/9/30,1.54175E+12
2002/12/31,1.57806E+12
2003/3/31,1.64029E+12
2003/6/30,1.69201E+12
2003/9/30,1.77955E+12
2003/12/31,1.84503E+12
2004/3/31,1.93006E+12
2004/6/30,1.98075E+12
2004/9/30,2.06302E+12
2004/12/31,2.08652E+12
2005/3/31,2.15729E+12
2005/6/30,2.18682E+12
2005/9/30,2.23425E+12
2005/12/31,2.24273E+12
2006/3/31,2.30092E+12
2006/6/30,2.29978E+12
2006/9/30,2.88643E+12
2006/12/31,3.68933E+12
2007/3/31,4.05594E+12
2007/6/30,4.499E+12
2007/9/30,5.32328E+12
2007/12/31,6.76475E+12
2008/3/31,7.10733E+12
2008/6/30,7.17782E+12
2008/9/30,7.45987E+12
2008/12/31,7.6943E+12
2009/3/31,7.96195E+12
2009/6/30,8.05484E+12
2009/9/30,8.58536E+12
2009/12/31,9.21826E+12
2010/3/31,9.86162E+12
2010/6/30,1.01263E+13
2010/9/30,1.1346E+13
2010/12/31,1.22566E+13
2011/3/31,1.2987E+13
2011/6/30,1.33088E+13
2011/9/30,1.39429E+13
2011/12/31,1.46372E+13
2012/3/31,1.54516E+13
2012/6/30,1.56542E+13
2012/9/30,1.62448E+13
2012/12/31,1.69322E+13
2013/3/31,1.7637E+13
2013/6/30,1.76655E+13
2013/9/30,1.83007E+13
2013/12/31,1.8907E+13
2014/3/31,1.98262E+13
2014/6/30,2.00302E+13
2014/9/30,2.09157E+13
2014/12/31,2.2064E+13
2015/3/31,2.34122E+13
2015/6/30,2.43875E+13
2015/9/30,2.51041E+13
2015/12/31,2.64148E+13
2016/3/31,2.73824E+13
2016/6/30,2.78979E+13
2016/9/30,2.94786E+13
2016/12/31,3.09677E+13
2017/3/31,3.23325E+13
2017/6/30,3.26212E+13
2017/9/30,3.39524E+13
2017/12/31,3.55118E+13
2018/3/31,3.66678E+13
2018/6/30,3.71983E+13
2018/9/30,3.85851E+13
2018/12/31,3.96504E+13
2019/3/31,4.12459E+13
2019/6/30,4.16931E+13
2019/9/30,4.37324E+13
2019/12/31,
2020/3/31,
2020/6/30,
2020/9/30,
2020/12/31,
