date,profits,net_profits
1991/3/31,,
1991/6/30,47679676.27 ,38256513.76 
1991/9/30,,
1991/12/31,342621538.65 ,264585887.77 
1992/3/31,,
1992/6/30,178590089.21 ,139575065.13 
1992/9/30,,
1992/12/31,2223429144.60 ,1908154833.63 
1993/3/31,,
1993/6/30,3404632491.53 ,2993008107.33 
1993/9/30,,
1993/12/31,15572981317.19 ,13963428723.36 
1994/3/31,,
1994/6/30,13496620718.05 ,11968965619.89 
1994/9/30,,
1994/12/31,25727812355.57 ,21985332411.10 
1995/3/31,,
1995/6/30,13098939509.75 ,11330981460.01 
1995/9/30,,
1995/12/31,24718660314.61 ,21220272377.96 
1996/3/31,,
1996/6/30,13156711540.51 ,11211200684.91 
1996/9/30,,
1996/12/31,33224856807.02 ,28106409280.37 
1997/3/31,,
1997/6/30,23526613824.14 ,19891742966.47 
1997/9/30,,
1997/12/31,55042464379.23 ,46309852820.30 
1998/3/31,,
1998/6/30,28216190743.70 ,23611305296.78 
1998/9/30,,
1998/12/31,59575319686.49 ,47922934642.81 
1999/3/31,,
1999/6/30,33677854175.65 ,28034638322.41 
1999/9/30,,
1999/12/31,77312025804.76 ,63963021940.18 
2000/3/31,,
2000/6/30,45725272628.23 ,36539993552.93 
2000/9/30,,
2000/12/31,96867651553.29 ,78996211800.04 
2001/3/31,,
2001/6/30,54901262092.16 ,44918567828.47 
2001/9/30,,
2001/12/31,98944488347.48 ,74343828349.88 
2002/3/31,21614469095.69 ,16363570335.77 
2002/6/30,63580057623.73 ,49040478643.90 
2002/9/30,102003491278.88 ,78195504592.10 
2002/12/31,127782720722.19 ,91898810639.79 
2003/3/31,46241970889.23 ,34267359436.42 
2003/6/30,93003210138.23 ,69531211487.12 
2003/9/30,146474278796.11 ,111033680109.62 
2003/12/31,182926934163.16 ,135022633181.78 
2004/3/31,68315340711.99 ,51548176605.40 
2004/6/30,141255856272.01 ,107167985486.72 
2004/9/30,217544981025.70 ,165877056499.85 
2004/12/31,252955686108.04 ,183463345807.66 
2005/3/31,76429921271.34 ,55617445639.75 
2005/6/30,155180216771.71 ,111822479954.25 
2005/9/30,221469982198.77 ,160233934834.09 
2005/12/31,251616727808.61 ,173188768820.79 
2006/3/31,65364139954.74 ,46810728611.44 
2006/6/30,159672633791.65 ,115303988025.87 
2006/9/30,325320703102.78 ,234383461096.02 
2006/12/31,523767139471.11 ,377761121825.16 
2007/3/31,200437671906.17 ,143831221470.14 
2007/6/30,474664812834.79 ,345661084125.96 
2007/9/30,824362546503.04 ,600747958378.06 
2007/12/31,1342488463764.97 ,995695219587.18 
2008/3/31,357490764037.83 ,283171142299.87 
2008/6/30,736541866260.96 ,584459862152.61 
2008/9/30,1044570523007.57 ,826450319780.36 
2008/12/31,1066305950203.90 ,870416434930.38 
2009/3/31,277808468958.99 ,213150795299.23 
2009/6/30,650335742583.48 ,507517391604.84 
2009/9/30,1058906745658.13 ,827481298422.15 
2009/12/31,1448560465015.06 ,1131739685469.85 
2010/3/31,463321900730.73 ,365012465590.93 
2010/6/30,981008859773.81 ,774577330650.89 
2010/9/30,1616144789855.79 ,1275180131959.13 
2010/12/31,2209942097948.66 ,1743277122150.13 
2011/3/31,649978098168.36 ,504451997243.06 
2011/6/30,1354449945600.82 ,1053729803103.14 
2011/9/30,2015692377740.62 ,1574827099695.87 
2011/12/31,2599634500931.11 ,2026893862392.39 
2012/3/31,673987606222.04 ,521558247234.25 
2012/6/30,1380589389768.23 ,1073536108286.87 
2012/9/30,2037412123619.41 ,1586056843770.86 
2012/12/31,2684091409850.18 ,2078954951745.28 
2013/3/31,751167206159.14 ,581726958217.08 
2013/6/30,1559014638549.70 ,1207802916888.17 
2013/9/30,2353230393595.33 ,1830875465331.25 
2013/12/31,3078009971838.51 ,2391480052036.99 
2014/3/31,819877184462.67 ,634161592860.72 
2014/6/30,1729617298601.93 ,1338364543045.97 
2014/9/30,2599073229304.59 ,2020091246286.81 
2014/12/31,3321954802685.56 ,2562695073268.52 
2015/3/31,866102956853.21 ,663394158411.60 
2015/6/30,1945087790456.05 ,1502305800117.66 
2015/9/30,2739362292935.88 ,2116011856297.62 
2015/12/31,3454989909365.96 ,2645305503383.94 
2016/3/31,872400255709.72 ,674213545588.14 
2016/6/30,1885367796073.97 ,1481136238855.82 
2016/9/30,2847660079527.29 ,2243388775430.95 
2016/12/31,3763059158705.85 ,2957103956269.81 
2017/3/31,1067488143232.57 ,846408667632.84 
2017/6/30,2241195026827.06 ,1789020866201.21 
2017/9/30,3425586811134.76 ,2750034877387.39 
2017/12/31,4488350275176.93 ,3585866151058.81 
2018/3/31,1240882554846.83 ,987018882332.48 
2018/6/30,2636501962846.86 ,2105298537102.39 
2018/9/30,3916755734281.37 ,3134990141844.87 
2018/12/31,4671264130202.64 ,3673362620793.72 
2019/3/31,1392608868471.18 ,1114434980581.29 
2019/6/30,2844034311387.13 ,2312167976554.71 
2019/9/30,4255258248606.61 ,3458565586907.25 
